metric;layer;scenario;mean;std_dev
RTT;field;baseline_mitm;0.39;1.08
RTT;field;mitm;0.17;0.23
RTT;field;baseline_dos;0.37;1.87
RTT;field;dos-heavy;31.17;47.24
RTT;field;dos-light;0.87;4.43
RTT;system;baseline_mitm;0.38;1.0
RTT;system;mitm;0.18;0.19
RTT;system;baseline_dos;0.27;0.97
RTT;system;dos-heavy;33.12;53.75
RTT;system;dos-light;1.58;5.5

packet_loss;field;baseline_mitm;0.0;0.0
packet_loss;field;mitm;0.0;0.0
packet_loss;field;baseline_dos;0.0;0.0
packet_loss;field;dos-heavy;0.0;0.0
packet_loss;field;dos-light;1.0;1.0
packet_loss;system;baseline_mitm;0.0;0.0
packet_loss;system;mitm;0.0;0.0
packet_loss;system;baseline_dos;0.0;0.0
packet_loss;system;dos-heavy;2.24;1.12
packet_loss;system;dos-light;0.0;0.0

throughput;field;baseline_mitm;4.46;0
throughput;field;mitm;4.95;0
throughput;field;baseline_dos;5.12;0.05
throughput;field;dos-heavy;1.51;0.28
throughput;field;dos-light;3.02;0.08
throughput;system;baseline_mitm;4.85;0
throughput;system;mitm;4.67;0
throughput;system;baseline_dos;5.06;0.11
throughput;system;dos-heavy;3.03;0.3
throughput;system;dos-light;3.02;0.04