timestamp,run,fase,layer,source,destination,latency_ms
2026-05-16 23:30:44.048641,1,normal,field,h2,h3,6.15
2026-05-16 23:30:44.048672,1,normal,field,h2,h3,2.84
2026-05-16 23:30:44.048679,1,normal,field,h2,h3,0.556
2026-05-16 23:30:44.048685,1,normal,field,h2,h3,0.159
2026-05-16 23:30:44.048689,1,normal,field,h2,h3,0.133
2026-05-16 23:30:44.048694,1,normal,field,h2,h3,0.147
2026-05-16 23:30:44.048698,1,normal,field,h2,h3,0.187
2026-05-16 23:30:44.048702,1,normal,field,h2,h3,0.13
2026-05-16 23:30:44.048707,1,normal,field,h2,h3,0.144
2026-05-16 23:30:44.048711,1,normal,field,h2,h3,0.144
2026-05-16 23:30:44.048715,1,normal,field,h2,h3,0.141
2026-05-16 23:30:44.048720,1,normal,field,h2,h3,0.145
2026-05-16 23:30:44.048724,1,normal,field,h2,h3,0.148
2026-05-16 23:30:44.048728,1,normal,field,h2,h3,0.149
2026-05-16 23:30:44.048732,1,normal,field,h2,h3,0.134
2026-05-16 23:30:44.048737,1,normal,field,h2,h3,0.13
2026-05-16 23:30:44.048741,1,normal,field,h2,h3,0.127
2026-05-16 23:30:44.048745,1,normal,field,h2,h3,0.146
2026-05-16 23:30:44.048750,1,normal,field,h2,h3,0.156
2026-05-16 23:30:44.048754,1,normal,field,h2,h3,0.174
2026-05-16 23:31:04.774668,2,normal,field,h2,h3,0.119
2026-05-16 23:31:04.774701,2,normal,field,h2,h3,0.112
2026-05-16 23:31:04.774708,2,normal,field,h2,h3,0.141
2026-05-16 23:31:04.774712,2,normal,field,h2,h3,0.143
2026-05-16 23:31:04.774716,2,normal,field,h2,h3,0.103
2026-05-16 23:31:04.774720,2,normal,field,h2,h3,0.167
2026-05-16 23:31:04.774725,2,normal,field,h2,h3,0.067
2026-05-16 23:31:04.774729,2,normal,field,h2,h3,0.133
2026-05-16 23:31:04.774733,2,normal,field,h2,h3,0.153
2026-05-16 23:31:04.774738,2,normal,field,h2,h3,0.145
2026-05-16 23:31:04.774741,2,normal,field,h2,h3,0.141
2026-05-16 23:31:04.774745,2,normal,field,h2,h3,0.076
2026-05-16 23:31:04.774749,2,normal,field,h2,h3,0.148
2026-05-16 23:31:04.774753,2,normal,field,h2,h3,0.149
2026-05-16 23:31:04.774756,2,normal,field,h2,h3,0.147
2026-05-16 23:31:04.774760,2,normal,field,h2,h3,0.117
2026-05-16 23:31:04.774765,2,normal,field,h2,h3,0.125
2026-05-16 23:31:04.774769,2,normal,field,h2,h3,0.142
2026-05-16 23:31:04.774773,2,normal,field,h2,h3,0.138
2026-05-16 23:31:04.774777,2,normal,field,h2,h3,0.116
2026-05-16 23:31:25.286525,3,normal,field,h2,h3,0.109
2026-05-16 23:31:25.286626,3,normal,field,h2,h3,0.112
2026-05-16 23:31:25.286633,3,normal,field,h2,h3,0.119
2026-05-16 23:31:25.286636,3,normal,field,h2,h3,0.121
2026-05-16 23:31:25.286639,3,normal,field,h2,h3,0.132
2026-05-16 23:31:25.286642,3,normal,field,h2,h3,0.118
2026-05-16 23:31:25.286646,3,normal,field,h2,h3,0.112
2026-05-16 23:31:25.286649,3,normal,field,h2,h3,0.182
2026-05-16 23:31:25.286653,3,normal,field,h2,h3,0.138
2026-05-16 23:31:25.286657,3,normal,field,h2,h3,0.217
2026-05-16 23:31:25.286660,3,normal,field,h2,h3,0.156
2026-05-16 23:31:25.286663,3,normal,field,h2,h3,0.153
2026-05-16 23:31:25.286666,3,normal,field,h2,h3,0.145
2026-05-16 23:31:25.286669,3,normal,field,h2,h3,0.122
2026-05-16 23:31:25.286672,3,normal,field,h2,h3,0.17
2026-05-16 23:31:25.286675,3,normal,field,h2,h3,0.12
2026-05-16 23:31:25.286679,3,normal,field,h2,h3,0.129
2026-05-16 23:31:25.286682,3,normal,field,h2,h3,0.135
2026-05-16 23:31:25.286685,3,normal,field,h2,h3,0.134
2026-05-16 23:31:25.286688,3,normal,field,h2,h3,0.127
2026-05-16 23:31:45.706605,1,normal,system,h3,h4,3.53
2026-05-16 23:31:45.706672,1,normal,system,h3,h4,0.758
2026-05-16 23:31:45.706682,1,normal,system,h3,h4,0.905
2026-05-16 23:31:45.706689,1,normal,system,h3,h4,0.134
2026-05-16 23:31:45.706694,1,normal,system,h3,h4,0.129
2026-05-16 23:31:45.706700,1,normal,system,h3,h4,0.141
2026-05-16 23:31:45.706705,1,normal,system,h3,h4,0.151
2026-05-16 23:31:45.706710,1,normal,system,h3,h4,0.144
2026-05-16 23:31:45.706715,1,normal,system,h3,h4,0.174
2026-05-16 23:31:45.706721,1,normal,system,h3,h4,0.161
2026-05-16 23:31:45.706726,1,normal,system,h3,h4,0.158
2026-05-16 23:31:45.706731,1,normal,system,h3,h4,0.145
2026-05-16 23:31:45.706736,1,normal,system,h3,h4,0.143
2026-05-16 23:31:45.706741,1,normal,system,h3,h4,0.162
2026-05-16 23:31:45.706746,1,normal,system,h3,h4,0.144
2026-05-16 23:31:45.706752,1,normal,system,h3,h4,0.136
2026-05-16 23:31:45.706757,1,normal,system,h3,h4,0.147
2026-05-16 23:31:45.706762,1,normal,system,h3,h4,0.173
2026-05-16 23:31:45.706766,1,normal,system,h3,h4,0.142
2026-05-16 23:31:45.706770,1,normal,system,h3,h4,0.144
2026-05-16 23:32:06.951248,2,normal,system,h3,h4,0.115
2026-05-16 23:32:06.951280,2,normal,system,h3,h4,0.165
2026-05-16 23:32:06.951286,2,normal,system,h3,h4,0.16
2026-05-16 23:32:06.951292,2,normal,system,h3,h4,0.144
2026-05-16 23:32:06.951296,2,normal,system,h3,h4,0.192
2026-05-16 23:32:06.951300,2,normal,system,h3,h4,0.161
2026-05-16 23:32:06.951305,2,normal,system,h3,h4,0.138
2026-05-16 23:32:06.951309,2,normal,system,h3,h4,0.149
2026-05-16 23:32:06.951313,2,normal,system,h3,h4,0.119
2026-05-16 23:32:06.951317,2,normal,system,h3,h4,0.15
2026-05-16 23:32:06.951321,2,normal,system,h3,h4,0.168
2026-05-16 23:32:06.951327,2,normal,system,h3,h4,0.145
2026-05-16 23:32:06.951331,2,normal,system,h3,h4,0.147
2026-05-16 23:32:06.951335,2,normal,system,h3,h4,0.149
2026-05-16 23:32:06.951340,2,normal,system,h3,h4,0.125
2026-05-16 23:32:06.951344,2,normal,system,h3,h4,0.174
2026-05-16 23:32:06.951349,2,normal,system,h3,h4,0.132
2026-05-16 23:32:06.951353,2,normal,system,h3,h4,0.12
2026-05-16 23:32:06.951357,2,normal,system,h3,h4,0.142
2026-05-16 23:32:06.951362,2,normal,system,h3,h4,0.16
2026-05-16 23:32:27.432301,3,normal,system,h3,h4,0.117
2026-05-16 23:32:27.432329,3,normal,system,h3,h4,0.108
2026-05-16 23:32:27.432338,3,normal,system,h3,h4,0.149
2026-05-16 23:32:27.432344,3,normal,system,h3,h4,0.161
2026-05-16 23:32:27.432349,3,normal,system,h3,h4,0.138
2026-05-16 23:32:27.432354,3,normal,system,h3,h4,0.13
2026-05-16 23:32:27.432360,3,normal,system,h3,h4,0.127
2026-05-16 23:32:27.432443,3,normal,system,h3,h4,0.152
2026-05-16 23:32:27.432459,3,normal,system,h3,h4,0.145
2026-05-16 23:32:27.432466,3,normal,system,h3,h4,0.144
2026-05-16 23:32:27.432471,3,normal,system,h3,h4,0.143
2026-05-16 23:32:27.432476,3,normal,system,h3,h4,0.154
2026-05-16 23:32:27.432480,3,normal,system,h3,h4,0.148
2026-05-16 23:32:27.432484,3,normal,system,h3,h4,0.147
2026-05-16 23:32:27.432488,3,normal,system,h3,h4,0.144
2026-05-16 23:32:27.432492,3,normal,system,h3,h4,0.128
2026-05-16 23:32:27.432497,3,normal,system,h3,h4,0.12
2026-05-16 23:32:27.432501,3,normal,system,h3,h4,0.147
2026-05-16 23:32:27.432505,3,normal,system,h3,h4,0.126
2026-05-16 23:32:27.432510,3,normal,system,h3,h4,0.157
